chunk_id,document,institution,chunk_text,amoore_score_auto,amoore_sim_preemption_auto,amoore_sim_norms_auto
0,original_proposal_commission.pdf,European Commission,"EUROPEAN COMMISSION Brussels, 11.5.2022 COM(2022) 209 final 2022/0155 (COD) Proposal for a REGULATIO...",0.0160954,0.28053862,0.2660559
1,original_proposal_commission.pdf,European Commission,"EUROPEAN COMMISSION Brussels, 11.5.2022 COM(2022) 209 final 2022/0155 (COD) Proposal for a REGULATIO...",0.0160954,0.28053862,0.2660559
2,original_proposal_commission.pdf,European Commission,"EUROPEAN COMMISSION Brussels, 11.5.2022 COM(2022) 209 final 2022/0155 (COD) Proposal for a REGULATIO...",0.0160954,0.28053862,0.2660559
3,original_proposal_commission.pdf,European Commission,"EUROPEAN COMMISSION Brussels, 11.5.2022 COM(2022) 209 final 2022/0155 (COD) Proposal for a REGULATIO...",0.0160954,0.28053862,0.2660559
4,original_proposal_commission.pdf,European Commission,"EUROPEAN COMMISSION Brussels, 11.5.2022 COM(2022) 209 final 2022/0155 (COD) Proposal for a REGULATIO...",0.0160954,0.28053862,0.2660559
5,original_proposal_commission.pdf,European Commission,"EUROPEAN COMMISSION Brussels, 11.5.2022 COM(2022) 209 final 2022/0155 (COD) Proposal for a REGULATIO...",0.0160954,0.28053862,0.2660559
6,original_proposal_commission.pdf,European Commission,"EUROPEAN COMMISSION Brussels, 11.5.2022 COM(2022) 209 final 2022/0155 (COD) Proposal for a REGULATIO...",0.0160954,0.28053862,0.2660559
7,original_proposal_commission.pdf,European Commission,"EUROPEAN COMMISSION Brussels, 11.5.2022 COM(2022) 209 final 2022/0155 (COD) Proposal for a REGULATIO...",0.0160954,0.28053862,0.2660559
8,original_proposal_commission.pdf,European Commission,"EUROPEAN COMMISSION Brussels, 11.5.2022 COM(2022) 209 final 2022/0155 (COD) Proposal for a REGULATIO...",0.0160954,0.28053862,0.2660559
9,original_proposal_commission.pdf,European Commission,Child sexual abuse material is a product of the physical sexual abuse of children. Its detection and...,0.11899073,0.37959018,0.25428087
10,original_proposal_commission.pdf,European Commission,"The pandemic has exposed children to a significantly higher degree of unwanted approaches online, in...",0.10492517,0.3716392,0.26153982
11,original_proposal_commission.pdf,European Commission,Despite the fact that the sexual abuse and sexual exploitation of children and child sexual abuse ma...,0.058050267,0.32667527,0.2670657
12,original_proposal_commission.pdf,European Commission,2 UN General Comment No. 25 (2021) on Childrens Rights in Relation to the Digital Environment. 3 One...,0.13919437,0.3476816,0.20005843
13,original_proposal_commission.pdf,European Commission,"25 (2021) on Childrens Rights in Relation to the Digital Environment. 3 One in Five Campaign, Counci...",0.1542098,0.35671923,0.19286492
14,original_proposal_commission.pdf,European Commission,"4 Economist Impact survey of more than 5,000 18-20 year olds in 54 countries, published in the Globa...",0.14426215,0.36873984,0.21583241
15,original_proposal_commission.pdf,European Commission,"7 EU strategy for a more effective fight against child sexual abuse, COM(2020) 607, 24 July 2020, p....",0.06983088,0.33419695,0.2618576
16,original_proposal_commission.pdf,European Commission,"EN EN 1 the services they offer, and improve protection of children globally through multi-stakehold...",0.07528256,0.33194017,0.25364813
17,original_proposal_commission.pdf,European Commission,"On 24 March 2021, the European Commission adopted its comprehensive EU Strategy on the Rights of the...",0.09839329,0.33384365,0.23044038
18,original_proposal_commission.pdf,European Commission,"In addition, it invites companies to continue their efforts to detect, report and remove illegal onl...",0.08456817,0.34404,0.25578058
19,original_proposal_commission.pdf,European Commission,"The circulation of images and videos of child sexual abuse, which has increased dramatically with th...",0.10837674,0.30238414,0.18778577
20,original_proposal_commission.pdf,European Commission,"Yet the measures taken by providers vary widely, with the vast majority of reports coming from a han...",0.012975043,0.25665826,0.24531174
21,original_proposal_commission.pdf,European Commission,"Still, organisations such as the National Centre for Missing and Exploited Children (NCMEC) to whom ...",0.02092458,0.2650066,0.24510522
22,original_proposal_commission.pdf,European Commission,"Despite the important contribution made by certain providers, voluntary action has thus proven insuf...",0.03163083,0.29387313,0.26264006
23,original_proposal_commission.pdf,European Commission,"As a consequence, several Member States have started preparing and adopting national rules to fight ...",0.065183654,0.30995888,0.24241215
24,original_proposal_commission.pdf,European Commission,"COM(2022) 28, 26 January 2022. 9 EU strategy on the rights of the child, COM(2021) 142, 24 March 202...",0.08629177,0.34503996,0.25491703
25,original_proposal_commission.pdf,European Commission,11 Illustrated by the setting up of diverse new or existing authorities responsible for monitoring a...,0.026569985,0.34857,0.3234292
26,original_proposal_commission.pdf,European Commission,EN EN 2 proliferation.12 Addressing the risk of fragmentation through this proposal must take accoun...,0.0026655737,0.3440321,0.34483713
27,original_proposal_commission.pdf,European Commission,"In combating child sexual abuse as it manifests itself online, there are important rights and intere...",0.10286343,0.34720355,0.23908314
28,original_proposal_commission.pdf,European Commission,This proposal therefore sets out targeted measures that are proportionate to the risk of misuse of a...,0.115155995,0.40462148,0.2837517
29,original_proposal_commission.pdf,European Commission,These databases should therefore be ready before the Regulation enters into application. To ensure t...,0.020256575,0.3213637,0.30279547
30,original_proposal_commission.pdf,European Commission,"The EU Centre should also carry out certain complementary tasks, such as assisting competent nationa...",0.027386138,0.3232845,0.29698396
31,original_proposal_commission.pdf,European Commission,"The EU Centre should work closely with Europol. It will receive the reports from providers, check th...",0.0845303,0.33573958,0.24743201
32,original_proposal_commission.pdf,European Commission,"In turn, a representative from the EU Centre could be part of the management board of Europol, to fu...",0.10495143,0.40124166,0.29143244
33,original_proposal_commission.pdf,European Commission,The proposed legislation also contributes to the achievement of the objectives set in several intern...,0.06618228,0.37318796,0.305236
34,original_proposal_commission.pdf,European Commission,Relevant in this respect are the Council of Europes Lanzarote Convention on the Protection of Childr...,0.086567655,0.3931827,0.30327803
35,original_proposal_commission.pdf,European Commission,"14 COM(2022) 212, 11 May 2022. 15 Council of Europe Convention on Protection of Children against Sex...",0.03168706,0.3944158,0.364204
36,original_proposal_commission.pdf,European Commission,"201, 25 October 2997. 16 Council of Europe Convention on Cybercrime, ETS No. 185, 23 November 2001. ...",0.030171817,0.39699963,0.3684634
37,original_proposal_commission.pdf,European Commission,"185, 23 November 2001. 17 Regulation (EU) 2016/679 of the European Parliament and of the Council of ...",-0.017854212,0.38582963,0.4093988
38,original_proposal_commission.pdf,European Commission,"EN EN 4 The proposal covers, inter alia, providers that offer interpersonal electronic communication...",-0.021642797,0.36722672,0.39471552
39,original_proposal_commission.pdf,European Commission,"In this regard, the proposal involves the application, by analogy, of Article 15(1) of that Directiv...",0.03229598,0.3898643,0.35894132
40,original_proposal_commission.pdf,European Commission,"In that manner, it will complement the general framework provided for by the DSA, once adopted. The ...",-0.012516101,0.38336957,0.40110737
41,original_proposal_commission.pdf,European Commission,Whilst the precise contours of that prohibition addressed to Member States are only gradually becomi...,-0.0661598,0.35039043,0.42610773
42,original_proposal_commission.pdf,European Commission,"It does so, in particular, by targeting the scope of the obligations imposed on providers at risk an...",-0.052925356,0.28904372,0.34970886
43,original_proposal_commission.pdf,European Commission,18 Directive 2000/31/EC of the European Parliament and of the Council of 8 June 2000 on certain lega...,-0.1542404,0.2390903,0.40939215
44,original_proposal_commission.pdf,European Commission,20 Proposal for a regulation on a Single Market For Digital Services (Digital Services Act) and amen...,-0.13023919,0.25153178,0.3958676
45,original_proposal_commission.pdf,European Commission,21 https//ec.europa.eu/commission/presscorner/detail/en/IP_22_2545 EN EN 5 In delivering on its main...,-0.14471382,0.22333652,0.38310915
46,original_proposal_commission.pdf,European Commission,"2. LEGAL BASIS, SUBSIDIARITY AND PROPORTIONALITY  Legal basis The legal basis to support action in t...",-0.18431628,0.16992533,0.37218845
47,original_proposal_commission.pdf,European Commission,"As mentioned above, barriers to the Digital Single Market for Services have started to emerge follow...",-0.049395688,0.24265237,0.29897973
48,original_proposal_commission.pdf,European Commission,"Subsidiarity According to the principle of subsidiarity, EU action may only be taken if the envisage...",-0.009106515,0.29410467,0.30717373
49,original_proposal_commission.pdf,European Commission,"As mentioned, Member States have started imposing requirements on providers to tackle online child s...",5.332008e-05,0.27862757,0.2815692
50,original_proposal_commission.pdf,European Commission,Even those Member States who have not yet introduced such requirements are increasingly considering ...,-0.045085374,0.25829345,0.31010202
